,ID,Genre,Senior,Enfants,Anciennete,Multi-lignes,Service Internet,Autres Services,Partenaire,Contrat,Facturation electronique,Mode de paiement,charges mensuelles,Charges totales,target
"2662,3109,Femme,0,Oui,43,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106,""4532,3"",Non"
"4851,5706,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""19,65"",""19,65"",Non"
2345,2745,Femme,0,Non,42,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,99,4135,Non
"444,517,Femme,0,Non,28,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,""54,3"",""1546,3"",Non"
"4273,5020,Homme,1,Non,14,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""95,6"",""1273,3"",Non"
"3312,3887,Femme,1,Non,72,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""106,85"",""7677,4"",Non"
"2359,2760,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Virement bancaire,""19,65"",""19,65"",Non"
"3006,3529,Homme,0,Non,16,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""19,7"",""342,4"",Oui"
"3654,4286,Homme,0,Oui,45,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""73,85"",3371,Non"
"2206,2587,Femme,0,Oui,44,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,""19,6"",""780,25"",Non"
"4315,5071,Homme,0,Oui,35,Non,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""85,15"",""3030,6"",Oui"
"5119,6021,Femme,0,Oui,34,Non,DSL,Non,Oui,Annuel,Non,Cheque papier,""61,25"",""1993,2"",Non"
"3657,4289,Homme,0,Oui,3,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""91,85"",""257,05"",Oui"
"3179,3733,Femme,0,Oui,23,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,""77,15"",""1759,4"",Non"
"3422,4013,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""50,55"",""50,55"",Oui"
"1286,1522,Homme,0,Non,37,Oui,DSL,Oui,Non,Annuel,Non,Cheque electronique,""67,45"",""2443,3"",Non"
"5693,6702,Homme,0,Oui,28,Non,Fibre optique,Oui,Oui,Annuel,Non,Virement bancaire,""100,35"",2799,Non"
"349,413,Femme,0,Non,29,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""74,95"",""2149,05"",Non"
"3416,4006,Homme,0,Non,1,Oui,Non,Oui,Non,Mensuel,Oui,Cheque papier,""24,05"",""24,05"",Oui"
"2137,2511,Homme,0,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""74,25"",""74,25"",Oui"
"2691,3150,Femme,0,Non,8,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""64,1"",""504,05"",Non"
"2636,3078,Homme,0,Non,45,Non,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""53,3"",""2296,25"",Non"
"4016,4724,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""74,35"",""74,35"",Oui"
"4260,5005,Femme,0,Non,64,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""111,15"",""6953,4"",Non"
"1681,1980,Femme,0,Oui,45,Non,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,20,""886,4"",Non"
"4847,5702,Femme,0,Oui,15,Non,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,""76,5"",""1155,6"",Non"
"1443,1701,Homme,0,Non,47,Non,Non,Oui,Non,Bisannuel,Non,Virement bancaire,""20,45"",943,Non"
"4348,5112,Homme,1,Non,47,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""85,5"",""4042,3"",Oui"
"3215,3776,Homme,1,Non,41,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""98,4"",""4187,75"",Oui"
"1671,1968,Homme,0,Non,69,Oui,DSL,Oui,Non,Annuel,Oui,Carte bancaire,""78,6"",""5356,45"",Oui"
"2338,2738,Homme,0,Non,64,Oui,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,""104,65"",""6889,8"",Non"
"1179,1393,Homme,0,Oui,33,Non,Non,Oui,Oui,Annuel,Non,Carte bancaire,""20,1"",""620,55"",Non"
"2798,3279,Femme,0,Oui,65,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,""79,4"",""5071,9"",Non"
"1692,1994,Femme,0,Oui,1,Non,DSL,Oui,Oui,Mensuel,Oui,Cheque electronique,""45,7"",""45,7"",Oui"
"4412,5187,Femme,1,Non,1,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,""36,45"",""36,45"",Oui"
"4764,5605,Homme,0,Non,17,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""70,8"",1207,Non"
"3635,4263,Homme,1,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,""66,4"",""94,55"",Oui"
"372,436,Femme,0,Non,26,Non,DSL,Non,Non,Mensuel,Oui,Carte bancaire,""44,45"",""1183,8"",Non"
"3055,3583,Femme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""80,5"",""232,35"",Non"
"5490,6459,Homme,0,Oui,6,Non,DSL,Oui,Oui,Mensuel,Oui,Cheque electronique,""49,15"",""295,65"",Non"
"1916,2255,Homme,1,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,""93,05"",""6735,05"",Non"
"1357,1601,Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""88,8"",""88,8"",Oui"
"1825,2146,Homme,0,Non,11,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""72,9"",""818,45"",Non"
"786,927,Femme,1,Non,3,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""79,4"",""205,05"",Oui"
"469,548,Femme,0,Non,65,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,""105,05"",""6744,25"",Non"
"140,162,Femme,0,Non,20,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""82,4"",""1592,35"",Oui"
"788,929,Femme,0,Oui,68,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""103,75"",""7039,45"",Non"
"323,382,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""50,65"",""50,65"",Oui"
"5577,6564,Homme,0,Oui,15,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""74,9"",""1107,25"",Oui"
"714,841,Femme,1,Non,55,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,100,""5509,3"",Oui"
"3188,3743,Femme,0,Non,41,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""106,5"",""4282,4"",Non"
"5280,6203,Homme,0,Oui,21,Oui,DSL,Oui,Oui,Annuel,Non,Cheque papier,""77,5"",1625,Oui"
"5885,6923,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,""74,45"",""221,1"",Non"
"406,474,Homme,0,Non,24,Non,DSL,Oui,Oui,Mensuel,Non,Cheque papier,""53,6"",""1315,35"",Non"
"20,23,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,15"",""20,15"",Oui"
"1004,1185,Homme,0,Oui,18,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque papier,""87,9"",""1500,5"",Non"
"2411,2819,Homme,0,Oui,29,Non,Fibre optique,Oui,Oui,Mensuel,Non,Carte bancaire,""94,65"",""2649,15"",Oui"
"2545,2975,Homme,0,Non,28,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""94,5"",""2659,4"",Oui"
"2390,2798,Homme,0,Non,3,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""100,95"",""329,95"",Oui"
"4873,5734,Femme,0,Oui,71,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""19,85"",""1326,35"",Non"
"42,47,Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""49,25"",97,Non"
"2830,3317,Femme,0,Non,26,Non,DSL,Non,Oui,Annuel,Non,Virement bancaire,""47,85"",""1190,5"",Non"
"3371,3956,Homme,0,Non,29,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,""45,9"",""1332,4"",Non"
"3022,3546,Femme,0,Non,50,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""95,7"",""4729,75"",Non"
"3364,3948,Femme,0,Non,5,Non,DSL,Oui,Non,Mensuel,Non,Carte bancaire,""55,8"",""300,4"",Non"
"11,14,Homme,0,Non,49,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""103,7"",""5036,3"",Oui"
"1177,1391,Femme,0,Oui,72,Non,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""68,75"",""4888,2"",Non"
"1947,2290,Femme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Cheque papier,""107,45"",""7576,7"",Non"
"2501,2921,Femme,0,Non,72,Non,DSL,Oui,Oui,Bisannuel,Non,Cheque papier,""85,1"",""6155,4"",Non"
"2863,3356,Femme,0,Non,68,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,""90,2"",""6297,65"",Non"
3865,4535,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Carte bancaire,49,49,Non
"1026,1215,Homme,0,Non,19,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,86,""1532,45"",Oui"
"3848,4516,Femme,0,Non,15,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""83,2"",1130,Non"
"2989,3510,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""44,9"",""44,9"",Non"
"961,1134,Homme,0,Oui,2,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""19,25"",""48,35"",Non"
"2889,3385,Femme,0,Oui,4,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""73,75"",""325,45"",Oui"
"3015,3539,Homme,0,Oui,71,Non,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,""100,2"",7209,Non"
"3338,3915,Homme,0,Non,39,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,9"",""791,15"",Non"
"4219,4956,Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""69,4"",""69,4"",Oui"
"735,871,Femme,0,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,""98,2"",""7015,9"",Non"
"1440,1698,Femme,0,Oui,63,Non,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""75,55"",""4707,85"",Non"
"2875,3369,Femme,0,Non,46,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""94,15"",""4408,45"",Non"
"3986,4688,Homme,0,Non,22,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""94,7"",""1914,9"",Oui"
"916,1080,Femme,0,Oui,3,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""69,55"",""200,2"",Non"
"4989,5867,Homme,0,Non,3,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""19,65"",""68,35"",Non"
"4089,4805,Femme,0,Non,61,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""118,6"",""7365,7"",Non"
"5528,6505,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""79,25"",""267,6"",Oui"
"5216,6130,Homme,0,Non,52,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,""39,9"",""2020,9"",Non"
"2772,3246,Femme,0,Oui,23,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""83,8"",""1900,25"",Oui"
"1624,1914,Femme,0,Non,65,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""95,5"",""6153,85"",Non"
"4742,5580,Femme,0,Oui,70,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Virement bancaire,""93,9"",""6579,05"",Oui"
"821,966,Homme,1,Non,8,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,""100,3"",""832,35"",Oui"
"1367,1612,Femme,0,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,""90,95"",""6468,6"",Non"
"3712,4357,Femme,0,Non,3,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""18,8"",56,Non"
"5377,6323,Femme,0,Non,4,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,79,""303,15"",Oui"
"850,1000,Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""70,3"",""132,4"",Non"
"1000,1179,Homme,0,Non,15,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""101,35"",""1553,95"",Oui"
"4447,5228,Homme,0,Non,7,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""96,2"",""639,7"",Non"
"4114,4833,Homme,0,Non,32,Non,DSL,Oui,Oui,Annuel,Non,Cheque papier,""70,5"",""2201,75"",Non"
"1637,1928,Homme,0,Oui,47,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""107,35"",""5118,95"",Oui"
"1667,1963,Homme,0,Non,23,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,""99,95"",""2292,75"",Non"
"3173,3726,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""70,8"",""70,8"",Oui"
"5513,6490,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""18,85"",""18,85"",Oui"
"1347,1590,Femme,1,Non,7,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""64,95"",""493,65"",Non"
"4990,5868,Homme,1,Non,44,Non,Non,Oui,Oui,Bisannuel,Oui,Carte bancaire,""19,35"",""847,25"",Non"
"3230,3794,Femme,0,Non,9,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,25"",""186,15"",Non"
"5703,6714,Homme,1,Non,68,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""95,9"",""6503,2"",Non"
"4594,5394,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""70,6"",""70,6"",Oui"
"3232,3796,Homme,0,Non,12,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""81,45"",912,Non"
"4888,5750,Femme,1,Non,59,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""99,5"",5890,Non"
"703,828,Femme,0,Oui,14,Oui,Non,Oui,Oui,Mensuel,Non,Cheque papier,""25,55"",""372,45"",Non"
"4769,5611,Femme,0,Non,3,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""75,5"",""220,6"",Oui"
3291,3866,Femme,0,Oui,1,Oui,Non,Oui,Non,Mensuel,Non,Cheque papier,24,24,Non
"3673,4309,Homme,0,Non,25,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""69,75"",""1729,35"",Non"
"2408,2816,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""88,35"",""262,05"",Oui"
"1327,1568,Femme,0,Non,10,Non,DSL,Oui,Oui,Mensuel,Oui,Carte bancaire,""67,8"",""653,15"",Non"
"5573,6560,Femme,0,Non,56,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""98,7"",""5669,5"",Non"
"4898,5762,Femme,0,Oui,48,Non,DSL,Non,Oui,Bisannuel,Non,Cheque papier,""39,4"",""1978,65"",Non"
"4995,5873,Femme,0,Oui,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""69,65"",""69,65"",Oui"
"986,1164,Femme,0,Non,12,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""89,75"",""1052,4"",Oui"
"5427,6384,Homme,0,Oui,23,Non,DSL,Non,Non,Bisannuel,Non,Cheque papier,""40,1"",""857,75"",Non"
"5143,6050,Femme,0,Oui,47,Non,Non,Oui,Oui,Bisannuel,Non,Carte bancaire,""20,05"",""1016,7"",Non"
"4951,5823,Femme,1,Non,35,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""70,55"",2419,Non"
"4049,4759,Femme,0,Non,56,Non,Non,Oui,Non,Bisannuel,Non,Virement bancaire,""19,7"",""1051,9"",Non"
"3485,4088,Femme,0,Non,10,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""20,9"",247,Non"
"2474,2890,Homme,0,Oui,58,Non,DSL,Non,Oui,Annuel,Non,Cheque papier,50,""2919,85"",Non"
"3873,4547,Femme,0,Oui,12,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""84,5"",""916,9"",Oui"
"1198,1416,Homme,0,Non,64,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,""100,3"",""6603,8"",Non"
"1518,1787,Femme,0,Non,38,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""84,25"",""3264,5"",Oui"
"1799,2115,Homme,0,Non,40,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""61,9"",""2647,1"",Non"
"1014,1196,Femme,1,Non,20,Non,DSL,Oui,Oui,Mensuel,Oui,Cheque electronique,60,""1259,35"",Non"
"128,147,Homme,0,Non,3,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,6"",""61,35"",Non"
"1364,1609,Homme,0,Non,17,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,""20,1"",""279,5"",Non"
"4599,5400,Femme,0,Non,50,Non,Non,Oui,Non,Annuel,Non,Virement bancaire,""19,75"",""989,05"",Non"
"891,1053,Femme,0,Non,40,Oui,DSL,Oui,Non,Annuel,Oui,Cheque papier,""80,75"",""3208,65"",Non"
"2793,3273,Homme,0,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""81,7"",""81,7"",Oui"
"5020,5904,Homme,0,Non,52,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""91,6"",""4627,8"",Non"
"5702,6712,Femme,0,Oui,49,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""98,35"",""4889,2"",Non"
"5128,6033,Homme,1,Non,68,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""105,3"",""7299,65"",Oui"
"3249,3814,Homme,0,Oui,69,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,105,""7297,75"",Non"
"1208,1429,Homme,0,Non,1,Oui,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""50,45"",""50,45"",Oui"
"3868,4539,Femme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""85,8"",""272,2"",Oui"
"4065,4779,Homme,0,Oui,62,Oui,Non,Oui,Non,Bisannuel,Oui,Cheque papier,""24,4"",1413,Non"
"5846,6881,Femme,0,Oui,72,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""25,2"",""1787,35"",Non"
"1239,1469,Homme,0,Non,62,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,""92,3"",""5731,45"",Non"
"2289,2682,Homme,0,Non,46,Non,DSL,Non,Oui,Bisannuel,Non,Carte bancaire,""40,4"",""1842,7"",Non"
"2740,3206,Femme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,""117,6"",""8308,9"",Non"
"275,324,Femme,0,Oui,9,Non,DSL,Oui,Oui,Annuel,Non,Cheque papier,""48,6"",""422,3"",Non"
"1035,1225,Homme,0,Oui,1,Non,DSL,Oui,Oui,Mensuel,Oui,Cheque papier,""45,85"",""45,85"",Oui"
"1229,1457,Femme,0,Non,16,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,100,""1534,75"",Oui"
"1008,1190,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,""85,7"",""256,75"",Non"
"3828,4493,Homme,0,Oui,54,Oui,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,""24,05"",""1230,9"",Non"
"2532,2955,Femme,0,Non,7,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""75,45"",""480,75"",Oui"
"1058,1250,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""45,05"",""45,05"",Oui"
"4440,5218,Femme,0,Non,10,Oui,Non,Oui,Non,Mensuel,Oui,Cheque papier,""24,5"",""270,15"",Non"
"281,330,Femme,1,Non,17,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""82,65"",""1470,05"",Non"
"1043,1234,Femme,0,Oui,70,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""24,7"",""1685,9"",Non"
"1316,1554,Femme,0,Oui,39,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""81,5"",""3107,3"",Non"
"968,1144,Homme,0,Non,18,Oui,DSL,Oui,Oui,Mensuel,Non,Carte bancaire,""56,8"",""1074,65"",Non"
"2381,2786,Femme,0,Non,25,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Cheque electronique,""108,9"",""2809,05"",Non"
"4775,5617,Femme,0,Oui,38,Non,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,""54,5"",""2076,05"",Non"
"1939,2282,Femme,0,Non,16,Oui,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,""65,2"",""1043,35"",Oui"
"4288,5037,Femme,1,Non,16,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""85,35"",""1375,15"",Oui"
"1274,1509,Femme,1,Oui,23,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""88,45"",""2130,55"",Non"
"619,727,Femme,0,Non,22,Oui,Non,Oui,Non,Bisannuel,Non,Cheque papier,""26,25"",""605,9"",Non"
"4342,5105,Femme,0,Non,18,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""20,1"",""370,5"",Non"
"1742,2048,Homme,0,Non,3,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""77,4"",""206,15"",Non"
"1390,1636,Femme,0,Non,3,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,""69,95"",""220,45"",Non"
"4867,5727,Femme,0,Oui,47,Non,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,""21,3"",""1041,8"",Non"
"1579,1860,Homme,0,Non,52,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""85,35"",""4338,6"",Oui"
"1655,1949,Femme,0,Non,2,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""80,75"",""159,45"",Oui"
"3568,4184,Homme,0,Oui,1,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,""33,6"",""33,6"",Non"
"2352,2752,Femme,0,Oui,19,Non,DSL,Non,Oui,Mensuel,Oui,Cheque papier,""24,85"",""434,8"",Non"
"2212,2594,Femme,0,Oui,62,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""20,3"",""1296,15"",Non"
"5949,6998,Femme,0,Non,27,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""76,1"",""2093,4"",Non"
"3178,3732,Homme,0,Non,2,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""69,8"",""146,65"",Non"
"3192,3747,Femme,0,Non,1,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""68,95"",""68,95"",Oui"
"1307,1545,Homme,0,Non,30,Non,DSL,Oui,Oui,Mensuel,Oui,Cheque papier,50,""1474,9"",Non"
"575,673,Femme,0,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""75,05"",""75,05"",Oui"
"2360,2761,Homme,0,Non,26,Non,Non,Oui,Non,Annuel,Oui,Carte bancaire,""20,65"",""595,5"",Non"
"1280,1516,Femme,0,Non,41,Oui,DSL,Oui,Non,Annuel,Oui,Cheque electronique,""68,6"",""2877,05"",Non"
"4864,5724,Homme,0,Non,58,Oui,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,""80,65"",""4807,35"",Non"
"5267,6186,Homme,0,Non,50,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""103,95"",""5231,3"",Non"
"1993,2339,Homme,0,Oui,72,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""19,95"",""1322,85"",Non"
"2639,3081,Homme,0,Non,2,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,""24,3"",""38,45"",Non"
"269,316,Homme,0,Oui,51,Oui,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,""110,05"",""5686,4"",Non"
"629,740,Femme,1,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,""89,85"",""6697,35"",Non"
"5149,6056,Femme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,55,""340,4"",Non"
"3081,3611,Femme,0,Non,12,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""100,15"",""1164,3"",Oui"
"3466,4065,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""50,15"",""50,15"",Non"
"5220,6134,Homme,0,Non,2,Non,DSL,Non,Non,Mensuel,Oui,Carte bancaire,""24,9"",""49,7"",Non"
"4023,4731,Homme,1,Non,31,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""96,6"",""2877,95"",Non"
"2046,2401,Femme,0,Oui,9,Non,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,93,""870,25"",Non"
"4698,5525,Homme,0,Oui,45,Non,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,""54,65"",""2553,7"",Non"
"2113,2480,Homme,0,Oui,56,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""75,85"",""4261,2"",Non"
27,32,Homme,1,Non,2,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,,,Non
"2040,2395,Homme,0,Non,71,Oui,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,""79,05"",""5552,5"",Non"
"3928,4616,Femme,0,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,""64,75"",""4804,75"",Non"
"5506,6483,Homme,0,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""101,45"",""101,45"",Oui"
"3216,3777,Homme,0,Non,43,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""56,35"",""2391,15"",Non"
"3814,4478,Homme,0,Oui,19,Non,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,""48,95"",""955,6"",Non"
"129,148,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""45,65"",""45,65"",Oui"
"4607,5411,Femme,0,Non,64,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,99,""6375,8"",Non"
"5874,6911,Homme,0,Oui,70,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Cheque electronique,""114,6"",""7882,5"",Non"
"13,16,Femme,0,Oui,69,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,""113,25"",""7895,15"",Non"
